,Complaint_ID,Customer_ID,Complaint_Date,Complaint_Type,Priority,Status,Resolution_Days,Channel
328,CM000329,C02560,2026-03-13,ACCOUNT SERVICE,Low,Closed,7.0,Call Center
329,CM000330,C01115,2025-06-12,FRAUD COMPLAINT,Medium,Escalated,,Email
330,CM000331,C03891,2024-09-18,CHARGES DISPUTE,Medium,Open,,Call Center
331,CM000332,C00886,2026-02-12,LOAN QUERY,Medium,Closed,30.0,App
332,CM000333,C00972,2024-06-16,CHARGES DISPUTE,Low,Escalated,,Email
333,CM000334,C02524,2024-09-25,CARD ISSUE,Medium,Pending,,Email
334,CM000335,C02550,2024-10-15,CARD ISSUE,Medium,Escalated,,App
335,CM000336,C02643,2024-02-20,CHARGES DISPUTE,Medium,Pending,,Email
336,CM000337,C00630,2024-11-23,ACCOUNT SERVICE,Medium,Escalated,,Social Media
337,CM000338,C01136,2026-05-14,KYC UPDATE,Medium,Pending,,Call Center
338,CM000339,C02688,2026-05-02,CARD ISSUE,High,Closed,2.0,Call Center
339,CM000340,C03126,2024-08-08,ACCOUNT SERVICE,Medium,Escalated,,Call Center
340,CM000341,C02384,2024-09-20,CARD ISSUE,Low,Pending,,Call Center
341,CM000342,C04796,2026-01-15,CHARGES DISPUTE,Low,Open,,Branch
342,CM000343,C03339,2024-04-22,FRAUD COMPLAINT,Medium,Escalated,,Call Center
343,CM000344,C01635,2024-12-21,CHARGES DISPUTE,Low,Closed,1.0,Social Media
344,CM000345,C04026,2025-03-25,CARD ISSUE,Medium,Closed,2.0,Call Center
345,CM000346,C04076,2026-06-30,KYC UPDATE,Medium,Pending,,Branch
346,CM000347,C00261,2024-08-15,KYC UPDATE,Medium,Closed,5.0,Social Media
347,CM000348,C02582,2025-03-03,FRAUD COMPLAINT,Medium,Closed,5.0,App
348,CM000349,C03240,2024-11-11,FRAUD COMPLAINT,Medium,Closed,7.0,Branch
349,CM000350,C04407,2025-05-08,CARD ISSUE,Medium,Closed,2.0,Email
350,CM000351,C01760,2024-06-08,FRAUD COMPLAINT,Low,Pending,,Call Center
351,CM000352,C04076,2025-01-10,KYC UPDATE,High,Closed,10.0,Social Media
352,CM000353,C03349,2024-02-13,CHARGES DISPUTE,Medium,Pending,,Email
353,CM000354,C02171,2025-12-12,CHARGES DISPUTE,Medium,Closed,1.0,Call Center
354,CM000355,C00713,2025-07-26,FRAUD COMPLAINT,Low,Escalated,,Social Media
355,CM000356,C00812,2025-08-09,KYC UPDATE,Medium,Open,,Email
356,CM000357,C03840,2026-05-28,KYC UPDATE,Medium,Open,,App
357,CM000358,C02070,2025-08-21,KYC UPDATE,Medium,Pending,,Branch
358,CM000359,C02927,2024-08-08,TRANSACTION DISPUTE,Medium,Open,,App
359,CM000360,C02151,2025-08-18,LOAN QUERY,Medium,Escalated,,Email
360,CM000361,C00323,2025-11-25,FRAUD COMPLAINT,Medium,Closed,15.0,Email
361,CM000362,C02685,2024-03-28,CARD ISSUE,Low,Closed,3.0,Email
362,CM000363,C04711,2024-01-18,CARD ISSUE,Medium,Open,,Branch
363,CM000364,C01472,2025-03-31,LOAN QUERY,High,Escalated,,Branch
364,CM000365,C01365,2024-09-15,CHARGES DISPUTE,Medium,Escalated,,Social Media
365,CM000366,C02182,2025-09-27,TRANSACTION DISPUTE,Medium,Open,,Call Center
366,CM000367,C04692,2024-01-22,ACCOUNT SERVICE,Low,Closed,0.0,Call Center
367,CM000368,C04055,2025-07-31,FRAUD COMPLAINT,High,Open,,Branch
368,CM000369,C04323,2024-01-23,LOAN QUERY,Medium,Escalated,,App
369,CM000370,C01241,2024-07-08,CHARGES DISPUTE,Low,Pending,,Social Media
370,CM000371,C01352,2026-02-24,LOAN QUERY,Medium,Open,,Social Media
371,CM000372,C03589,2025-09-21,LOAN QUERY,Low,Escalated,,Social Media
372,CM000373,C02712,2024-03-20,CARD ISSUE,Low,Pending,,Email
373,CM000374,C04741,2025-03-06,ACCOUNT SERVICE,Medium,Escalated,,Branch
374,CM000375,C04127,2026-02-13,FRAUD COMPLAINT,Low,Pending,,App
375,CM000376,C01164,2024-06-29,CARD ISSUE,Critical,Escalated,,Social Media
376,CM000377,C04633,2026-05-25,FRAUD COMPLAINT,Low,Open,,App
377,CM000378,C04325,2026-05-25,CARD ISSUE,High,Escalated,,Social Media
378,CM000379,C01115,2025-01-13,FRAUD COMPLAINT,Low,Escalated,,Call Center
379,CM000380,C00953,2025-12-03,TRANSACTION DISPUTE,Low,Open,,Email
380,CM000381,C00644,2026-04-19,LOAN QUERY,High,Open,,Email
381,CM000382,C01582,2024-08-08,TRANSACTION DISPUTE,Medium,Escalated,,Call Center
382,CM000383,C02842,2025-09-27,LOAN QUERY,High,Closed,7.0,Social Media
383,CM000384,C00379,2025-03-29,CHARGES DISPUTE,Medium,Open,,Email
384,CM000385,C00828,2025-02-13,FRAUD COMPLAINT,Medium,Open,,App
385,CM000386,C03793,2025-07-06,TRANSACTION DISPUTE,Low,Open,,Social Media
386,CM000387,C00323,2025-03-29,LOAN QUERY,Critical,Escalated,,App
387,CM000388,C00659,2024-10-22,TRANSACTION DISPUTE,High,Closed,0.0,Email
388,CM000389,C00163,2024-08-17,LOAN QUERY,Low,Pending,,Call Center
389,CM000390,C02754,2025-01-27,ACCOUNT SERVICE,Critical,Closed,5.0,Social Media
390,CM000391,C02232,2025-05-17,ACCOUNT SERVICE,Low,Pending,,App
391,CM000392,C03460,2026-06-14,LOAN QUERY,Low,Escalated,,Call Center
392,CM000393,C04744,2025-12-12,CARD ISSUE,Medium,Pending,,Call Center
393,CM000394,C04089,2025-02-13,FRAUD COMPLAINT,Low,Closed,2.0,Branch
394,CM000395,C00877,2024-06-06,LOAN QUERY,Low,Open,,App
395,CM000396,C04236,2025-08-22,FRAUD COMPLAINT,Low,Escalated,,Social Media
396,CM000397,C02044,2026-02-10,ACCOUNT SERVICE,Low,Pending,,App
397,CM000398,C03652,2026-03-01,CHARGES DISPUTE,Critical,Closed,30.0,Branch
398,CM000399,C02491,2025-02-13,TRANSACTION DISPUTE,Medium,Escalated,,App
399,CM000400,C02728,2026-04-04,CHARGES DISPUTE,Medium,Escalated,,App
400,CM000401,C00475,2025-04-14,TRANSACTION DISPUTE,Low,Pending,,Social Media
401,CM000402,C04000,2025-12-06,CHARGES DISPUTE,High,Pending,,Email
402,CM000403,C00336,2025-04-28,ACCOUNT SERVICE,Low,Open,,Call Center
403,CM000404,C04214,2024-08-04,ACCOUNT SERVICE,Low,Pending,,Branch
404,CM000405,C03949,2026-02-05,ACCOUNT SERVICE,Medium,Pending,,Call Center
405,CM000406,C04932,2024-04-13,KYC UPDATE,Low,Escalated,,Call Center
406,CM000407,C00366,2025-06-24,FRAUD COMPLAINT,Low,Escalated,,Branch
407,CM000408,C03300,2024-03-19,CHARGES DISPUTE,High,Open,,App
408,CM000409,C02266,2025-02-05,ACCOUNT SERVICE,Low,Escalated,,Branch
409,CM000410,C02149,2026-05-29,TRANSACTION DISPUTE,Low,Pending,,Call Center
410,CM000411,C04831,2025-07-21,TRANSACTION DISPUTE,Critical,Closed,,Branch
411,CM000412,C02614,2025-12-13,CARD ISSUE,Low,Pending,,Social Media
412,CM000413,C00069,2024-08-23,CARD ISSUE,High,Pending,,Social Media
413,CM000414,C03621,2024-01-21,KYC UPDATE,Low,Closed,,Call Center
414,CM000415,C02313,2025-07-21,KYC UPDATE,Medium,Closed,0.0,Social Media
415,CM000416,C00292,2025-09-22,ACCOUNT SERVICE,Medium,Closed,30.0,Email
416,CM000417,C00070,2025-09-27,ACCOUNT SERVICE,Low,Escalated,,Call Center
417,CM000418,C02596,2024-03-10,ACCOUNT SERVICE,Medium,Open,,Call Center
418,CM000419,C03022,2024-04-05,LOAN QUERY,Medium,Escalated,,Branch
419,CM000420,C02493,2026-04-11,CARD ISSUE,Low,Pending,,Call Center
420,CM000421,C04149,2024-09-10,ACCOUNT SERVICE,Low,Open,,App
421,CM000422,C04924,2024-10-23,LOAN QUERY,High,Pending,,Social Media
422,CM000423,C04548,2026-02-02,KYC UPDATE,Critical,Closed,1.0,Social Media
423,CM000424,C02329,2024-08-19,FRAUD COMPLAINT,Low,Closed,1.0,Email
424,CM000425,C01361,2026-05-02,TRANSACTION DISPUTE,Low,Pending,,App
425,CM000426,C01663,2024-10-26,KYC UPDATE,Medium,Pending,,Call Center
426,CM000427,C00806,2025-12-31,LOAN QUERY,Medium,Open,,Branch
427,CM000428,C02766,2024-01-07,CARD ISSUE,High,Pending,,Email
428,CM000429,C01055,2026-02-06,TRANSACTION DISPUTE,Medium,Pending,,Call Center
429,CM000430,C04795,2026-01-19,CARD ISSUE,Low,Open,,Email
430,CM000431,C01205,2024-10-04,CARD ISSUE,High,Closed,10.0,Branch
431,CM000432,C03479,2025-03-28,TRANSACTION DISPUTE,Medium,Pending,,Branch
432,CM000433,C01566,2026-06-28,LOAN QUERY,Low,Escalated,,App
433,CM000434,C00689,2025-08-14,ACCOUNT SERVICE,High,Escalated,,Email
434,CM000435,C04865,2024-10-03,ACCOUNT SERVICE,Medium,Open,,Social Media
435,CM000436,C01767,2025-11-16,LOAN QUERY,High,Pending,,Call Center
436,CM000437,C04681,2026-06-25,TRANSACTION DISPUTE,High,Escalated,,Email
437,CM000438,C01372,2025-01-17,TRANSCTION DISPUTE,High,Pending,,Call Center
438,CM000439,C04575,2025-04-17,KYC UPDATE,Low,Pending,,App
439,CM000440,C03498,2026-05-17,KYC UPDATE,Medium,Closed,15.0,Call Center
440,CM000441,C01658,2025-02-03,CHARGES DISPUTE,Medium,Closed,0.0,Social Media
441,CM000442,C00194,2026-05-24,TRANSACTION DISPUTE,Low,Closed,2.0,Email
442,CM000443,C04258,2025-10-31,CHARGES DISPUTE,High,Escalated,,Email
443,CM000444,C02790,2024-10-13,CHARGES DISPUTE,High,Open,,Social Media
444,CM000445,C03740,2026-05-22,CARD ISSU,Low,Pending,,Branch
445,CM000446,C02004,2025-06-04,FRAUD COMPLAINT,High,Closed,7.0,Call Center
446,CM000447,C02102,2026-06-25,CARD ISSUE,High,Escalated,,Branch
447,CM000448,C03948,2026-03-28,FRAUD COMPLAINT,High,Closed,2.0,Branch
448,CM000449,C02659,2025-07-31,KYC UPDATE,Medium,Escalated,,App
449,CM000450,C04710,2025-07-24,TRANSACTION DISPUTE,Critical,Escalated,,Social Media
450,CM000451,C00744,2024-03-07,KYC UPDATE,Low,Open,,App
451,CM000452,C02779,2025-10-22,TRANSACTION DISPUTE,Medium,Open,,Call Center
452,CM000453,C02657,2024-12-24,KYC UPDATE,Medium,Pending,,Call Center
453,CM000454,C03852,2025-11-14,CARD ISSUE,Medium,Pending,,App
454,CM000455,C02644,2025-07-11,CARD ISSUE,Medium,Closed,1.0,App
455,CM000456,C04291,2024-02-04,LOAN QUERY,Medium,Pending,,App
456,CM000457,C04336,2026-01-30,FRAUD COMPLAINT,Low,Escalated,,App
457,CM000458,C02074,2025-07-20,LOAN QUERY,Low,Open,,App
458,CM000459,C00226,2025-03-12,KYC UPDATE,Medium,Escalated,,Email
459,CM000460,C00105,2024-04-09,CARD ISSUE,Critical,Closed,2.0,Email
460,CM000461,C04081,2024-01-03,LOAN QUERY,Low,Escalated,,Email
461,CM000462,C01788,2024-06-02,ACCOUNT SERVICE,High,Pending,,Call Center
462,CM000463,C02455,2024-01-13,ACCOUNT SERVICE,Low,Escalated,,App
463,CM000464,C01903,2024-05-12,CARD ISSUE,High,Open,,Branch
464,CM000465,C02409,2025-05-18,KYC UPDATE,High,Escalated,,Branch
465,CM000466,C00778,2024-11-26,CHARGES DISPUTE,Low,Closed,1.0,Social Media
466,CM000467,C04903,2024-01-28,CARD ISSUE,Low,Open,,Call Center
467,CM000468,C01513,2025-01-28,LOAN QUERY,Low,Pending,,App
468,CM000469,C00982,2025-03-10,CARD ISSUE,Medium,Closed,30.0,Email
469,CM000470,C04943,2024-12-29,ACCOUNT SERVICE,Low,Closed,7.0,App
470,CM000471,C04757,2025-08-13,TRANSACTION DISPUTE,High,Escalated,,Branch
471,CM000472,C00539,2026-04-04,ACCOUNT SERVICE,Medium,Open,,Email
472,CM000473,C04026,2024-08-16,FRAUD COMPLAINT,Low,Open,,Email
473,CM000474,C01067,2024-12-27,FRAUD COMPLAIN,Medium,Closed,15.0,Branch
474,CM000475,C04884,2024-07-09,CHARGES DISPUTE,Medium,Escalated,,Branch
475,CM000476,C00817,2024-01-24,CHARGES DISPUTE,Medium,Open,,Social Media
476,CM000477,C02045,2026-05-26,CHARGES DISPUTE,Low,Open,,Call Center
477,CM000478,C03273,2026-01-30,CARD ISSUE,Medium,Escalated,,Email
478,CM000479,C04114,2025-02-14,CARD ISSUE,Medium,Open,,Email
479,CM000480,C03156,2024-09-30,TRANSACTION DISPUTE,Low,Escalated,,App
480,CM000481,C02484,2024-05-04,TRANSACTION DISPUTE,Medium,Open,,Social Media
481,CM000482,C03201,2024-08-13,CHARGES DISPUTE,Medium,Open,,App
482,CM000483,C02725,2025-03-31,CHARGES DISPUTE,High,Closed,3.0,Social Media
483,CM000484,C01498,2024-01-06,FRAUD COMPLAINT,Medium,Closed,2.0,Call Center
484,CM000485,C00084,2025-01-25,CHARGES DISPUTE,Medium,Closed,7.0,Branch
485,CM000486,C04425,2025-02-23,TRANSACTION DISPUTE,Medium,Pending,,Social Media
486,CM000487,C00117,2026-02-05,FRAUD COMPLAINT,Low,Pending,,Call Center
487,CM000488,C04059,2024-11-25,KYC UPDATE,Medium,Closed,1.0,Email
488,CM000489,C03595,2026-04-10,LOAN QUERY,High,Open,,Email
489,CM000490,C03149,2024-06-28,KYC UPDATE,Low,Closed,7.0,Email
490,CM000491,C03306,2026-05-23,ACCOUNT SERVICE,Medium,Escalated,,Email
491,CM000492,C02448,2025-03-08,FRAUD COMPLAINT,Low,Closed,30.0,Branch
492,CM000493,C04087,2024-09-17,FRAUD COMPLAIN,Medium,Escalated,,App
493,CM000494,C04083,2024-09-29,FRAUD COMPLAINT,Low,Open,,Email
494,CM000495,C02489,2025-08-03,TRANSACTION DISPUTE,Low,Open,,Social Media
495,CM000496,C04433,2025-11-10,FRAUD COMPLAINT,Medium,Escalated,,Branch
496,CM000497,C00610,2024-08-17,TRANSACTION DISPUTE,Medium,Pending,,Call Center
497,CM000498,C01098,2026-01-29,FRAUD COMPLAINT,Low,Open,,Call Center
498,CM000499,C04471,2024-01-01,FRAUD COMPLAINT,Low,Open,,Call Center
499,CM000500,C03895,2024-08-11,CARD ISSUE,High,Open,,App
500,CM000501,C00496,2025-12-02,FRAUD COMPLAINT,Critical,Closed,30.0,Social Media
501,CM000502,C03991,2026-06-01,KYC UPDATE,Medium,Open,,Email
502,CM000503,C01904,2025-03-09,CARD ISSUE,Low,Pending,,Call Center
503,CM000504,C03871,2025-01-22,FRAUD COMPLAINT,Critical,Open,,Email
504,CM000505,C00905,2024-03-11,KYC UPDATE,Low,Escalated,,Call Center
505,CM000506,C00307,2025-06-20,ACCOUNT SERVICE,Critical,Escalated,,Email
506,CM000507,C03611,2025-05-17,FRAUD COMPLAINT,Medium,Pending,,Branch
507,CM000508,C04213,2024-01-09,TRANSACTION DISPUTE,Medium,Closed,7.0,App
508,CM000509,C03172,2026-05-02,LOAN QUERY,Low,Closed,0.0,Call Center
509,CM000510,C02111,2025-05-11,KYC UPDATE,Medium,Escalated,,Call Center
510,CM000511,C04458,2024-12-01,ACCOUNT SERVICE,Critical,Escalated,,App
511,CM000512,C00003,2026-02-20,LOAN QUERY,Medium,Escalated,,Email
512,CM000513,C01475,2026-02-09,ACCOUNT SERVICE,Low,Closed,30.0,Email
513,CM000514,C04122,2026-04-30,LOAN QUERY,Low,Closed,30.0,Branch
514,CM000515,C04152,2025-03-05,KYC UPDATE,Critical,Closed,30.0,Branch
515,CM000516,C02778,2025-07-24,TRANSACTION DISPUTE,Medium,Closed,7.0,Email
516,CM000517,C03106,2024-03-19,KYC UPDATE,Low,Escalated,,App
517,CM000518,C01834,2024-12-14,LOAN QUERY,Low,Open,,Branch
518,CM000519,C02671,2025-02-04,CARD ISSUE,High,Pending,,Call Center
519,CM000520,C00911,2026-06-25,FRAUD COMPLAINT,Medium,Open,,Social Media
520,CM000521,C04741,2025-07-04,ACCOUNT SERVICE,Low,Escalated,,Branch
521,CM000522,C00653,2024-05-06,CARD ISSUE,Low,Pending,,Email
522,CM000523,C01238,2024-03-20,FRAUD COMPLAINT,Medium,Closed,,Email
523,CM000524,C00010,2024-01-17,TRANSACTION DISPUTE,Medium,Closed,5.0,Call Center
524,CM000525,C03860,2025-11-14,TRANSACTION DISPUTE,Medium,Closed,1.0,Email
525,CM000526,C04556,2024-01-20,FRAUD COMPLAINT,Low,Pending,,Social Media
526,CM000527,C03034,2025-08-30,TRANSACTION DISPUTE,Low,Open,,Social Media
527,CM000528,C00714,2025-01-26,FRAUD COMPLAINT,High,Open,,Social Media
528,CM000529,C03342,2024-10-19,CHARGES DISPUTE,Medium,Closed,10.0,Social Media
529,CM000530,C02842,2024-01-14,TRANSACTION DISPUTE,High,Open,,Email
530,CM000531,C04525,2026-03-16,ACCOUNT SERVICE,Medium,Escalated,,App
531,CM000532,C04143,2026-05-13,FRAUD COMPLAINT,Low,Escalated,,Social Media
532,CM000533,C02758,2025-07-06,LOAN QUERY,Medium,Open,,Branch
533,CM000534,C03583,2025-10-23,FRAUD COMPLAINT,Medium,Pending,,App
534,CM000535,C02240,2025-12-13,CHARGES DISPUTE,Medium,Escalated,,Social Media
535,CM000536,C03360,2026-04-30,FRAUD COMPLAINT,Medium,Pending,,App
536,CM000537,C01172,2024-03-04,TRANSACTION DISPUTE,Medium,Open,,Social Media
537,CM000538,C03425,2025-05-11,ACCOUNT SERVICE,Low,Closed,7.0,Email
538,CM000539,C02423,2025-07-03,FRAUD COMPLAINT,Low,Open,,Call Center
539,CM000540,C00332,2025-09-19,CHARGES DISPUTE,Low,Pending,,Social Media
540,CM000541,C02046,2024-06-19,CHARGES DISPUTE,High,Closed,5.0,Email
541,CM000542,C04427,2024-03-29,CARD ISSUE,Medium,Escalated,,Call Center
542,CM000543,C01309,2024-11-19,LOAN QUERY,Critical,Escalated,,Social Media
543,CM000544,C04007,2025-09-05,FRAUD COMPLAINT,Low,Pending,,Social Media
544,CM000545,C04330,2024-07-05,LOAN QUERY,Medium,Pending,,Social Media
545,CM000546,C00715,2025-04-07,CHARGES DISPUTE,Low,Open,,Call Center
546,CM000547,C04666,2025-07-19,ACCOUNT SERVICE,Low,Closed,2.0,Email
547,CM000548,C03616,2026-05-08,KYC UPDATE,High,Escalated,,Email
548,CM000549,C02748,2026-05-17,TRANSACTION DISPUTE,Medium,Open,,Social Media
549,CM000550,C01654,2025-12-24,CARD ISSUE,High,Pending,,Call Center
550,CM000551,C04994,2025-11-16,LOAN QUERY,Low,Pending,,Email
551,CM000552,C02796,2025-09-15,ACCOUNT SERVICE,Low,Escalated,,Call Center
552,CM000553,C01763,2024-08-20,KYC UPDATE,High,Pending,,Email
553,CM000554,C00102,2024-12-19,LOAN QUERY,Low,Open,,Email
554,CM000555,C01322,2026-02-11,FRAUD COMPLAINT,Medium,Closed,2.0,App
555,CM000556,C04453,2024-02-09,ACCOUNT SERVICE,Medium,Closed,,App
556,CM000557,C02406,2025-06-24,CARD ISSUE,Medium,Closed,0.0,Branch
557,CM000558,C03074,2025-05-01,KYC UPDATE,Low,Pending,,App
558,CM000559,C03054,2025-10-22,TRANSACTION DISPUTE,Low,Closed,7.0,Email
559,CM000560,C04949,2026-04-02,TRANSACTION DISPUTE,Low,Closed,0.0,Branch
560,CM000561,C04455,2025-03-08,CARD ISSUE,Medium,Pending,,Social Media
561,CM000562,C01949,2025-03-19,FRAUD COMPLAINT,Medium,Open,,Call Center
562,CM000563,C01073,2026-03-03,KYC UPDATE,Critical,Open,,Call Center
563,CM000564,C04285,2024-06-09,FRAUD COMPLAINT,Low,Closed,5.0,Call Center
564,CM000565,C01657,2025-03-25,TRANSACTION DISPUTE,High,Closed,15.0,Call Center
565,CM000566,C02186,2026-02-22,CHARGES DISPUTE,Medium,Open,,Branch
566,CM000567,C03949,2025-06-26,CARD ISSUE,Medium,Escalated,,Email
567,CM000568,C03321,2024-12-02,FRAUD COMPLAINT,Low,Closed,1.0,App
568,CM000569,C03253,2025-07-14,ACCOUNT SERVICE,High,Open,,Branch
569,CM000570,C01468,2025-04-06,KYC UPDATE,Medium,Open,,App
570,CM000571,C04382,2024-10-26,KYC UPDATE,Low,Open,,Branch
571,CM000572,C04815,2025-08-01,FRAUD COMPLAINT,Low,Pending,,App
572,CM000573,C00649,2025-09-19,ACCOUNT SERVICE,Medium,Closed,1.0,Email
573,CM000574,C02921,2024-09-13,CARD ISSUE,Low,Open,,Email
574,CM000575,C04172,2024-09-21,KYC UPDATE,Medium,Escalated,,Social Media
575,CM000576,C00320,2026-06-02,TRANSACTION DISPUTE,Critical,Pending,,Call Center
576,CM000577,C01113,2024-08-30,CHARGES DISPUTE,Low,Open,,Social Media
577,CM000578,C03211,2024-10-25,ACCOUNT SERVICE,Low,Escalated,,Social Media
578,CM000579,C03464,2026-02-16,CHARGES DISPUTE,Low,Pending,,Social Media
579,CM000580,C04814,2025-07-30,FRAUD COMPLAINT,Medium,Pending,,Call Center
580,CM000581,C02355,2025-09-25,LOAN QUERY,Medium,Closed,7.0,Social Media
581,CM000582,C02818,2025-02-17,CARD ISSUE,Medium,Open,,Call Center
582,CM000583,C03553,2025-01-04,CHARGES DISPUTE,Low,Pending,,Call Center
583,CM000584,C02891,2026-06-24,ACCOUNT SERVICE,Low,Closed,5.0,App
584,CM000585,C03291,2024-05-24,ACCOUNT SERVICE,Low,Pending,,App
585,CM000586,C01480,2024-05-03,CHARGES DISPUTE,Critical,Escalated,,Branch
586,CM000587,C01735,2024-05-01,CARD ISSUE,Medium,Escalated,,Call Center
587,CM000588,C03657,2024-03-17,FRAUD COMPLAINT,High,Pending,,Call Center
588,CM000589,C03407,2025-01-24,CARD ISSUE,Medium,Escalated,,App
589,CM000590,C01937,2025-04-20,CARD ISSUE,Low,Closed,0.0,Branch
590,CM000591,C03042,2024-10-11,CARD ISSUE,Medium,Escalated,,Email
591,CM000592,C01013,2026-06-19,TRANSACTION DISPUTE,Medium,Pending,,Call Center
592,CM000593,C01800,2026-02-03,LOAN QUERY,Medium,Open,,Social Media
593,CM000594,C04922,2024-04-23,ACCOUNT SERVICE,Low,Pending,,Branch
594,CM000595,C03857,2024-04-08,LOAN QUERY,Medium,Escalated,,App
595,CM000596,C03557,2025-03-14,CARD ISSUE,High,Open,,Call Center
596,CM000597,C01110,2025-01-26,FRAUD COMPLAINT,Low,Open,,Email
597,CM000598,C00800,2024-11-19,ACCOUNT SERVICE,Medium,Open,,Call Center
598,CM000599,C01734,2025-11-12,ACCOUNT SERVICE,Critical,Open,,Call Center
599,CM000600,C00089,2025-06-22,FRAUD COMPLAIN,Medium,Pending,,Branch
600,CM000601,C00465,2025-06-05,TRANSACTION DISPUTE,Low,Pending,,Branch
601,CM000602,C04609,2024-12-26,ACCOUNT SERVICE,Low,Escalated,,Call Center
602,CM000603,C01933,2025-11-04,CARD ISSUE,High,Closed,5.0,Call Center
603,CM000604,C02475,2024-03-25,ACCOUNT SERVICE,Medium,Closed,15.0,Email
604,CM000605,C03382,2024-04-22,CHARGES DISPUTE,Critical,Open,,Branch
605,CM000606,C02136,2024-03-27,LOAN QUERY,High,Pending,,Call Center
606,CM000607,C01761,2026-01-25,ACCOUNT SERVICE,Medium,Closed,7.0,Branch
607,CM000608,C00771,2024-07-02,ACCOUNT SERVICE,Low,Closed,,Email
608,CM000609,C00480,2025-03-05,CHARGES DISPUTE,Medium,Pending,,Branch
609,CM000610,C03160,2024-08-06,CARD ISSUE,Low,Closed,5.0,Branch
610,CM000611,C03640,2025-04-11,CARD ISSUE,High,Closed,15.0,Social Media
611,CM000612,C00496,2025-09-03,FRAUD COMPLAINT,Low,Closed,7.0,Branch
612,CM000613,C02593,2024-12-24,CHARGES DISPUTE,Medium,Pending,,Social Media
613,CM000614,C03745,2024-05-01,CARD ISSUE,Medium,Pending,,App
614,CM000615,C03855,2024-02-28,FRAUD COMPLAINT,High,Closed,15.0,Call Center
615,CM000616,C03702,2025-11-20,TRANSACTION DISPUTE,Medium,Closed,5.0,Email
616,CM000617,C04994,2025-04-21,LOAN QUERY,High,Closed,5.0,Social Media
617,CM000618,C02210,2026-02-10,CHARGES DISPUTE,Critical,Closed,5.0,Email
618,CM000619,C04850,2025-05-23,LOAN QUERY,Critical,Closed,5.0,App
619,CM000620,C03270,2025-01-14,TRANSACTION DISPUTE,Low,Open,,Call Center
620,CM000621,C04672,2025-03-05,ACCOUNT SERVICE,Medium,Escalated,,App
621,CM000622,C04730,2025-09-19,CARD ISSUE,Medium,Closed,0.0,Call Center
622,CM000623,C03088,2024-11-30,LOAN QUERY,Low,Escalated,,Call Center
623,CM000624,C04839,2024-08-16,LOAN QUERY,Medium,Closed,30.0,Social Media
624,CM000625,C04058,2024-04-17,FRAUD COMPLAINT,Medium,Pending,,Social Media
625,CM000626,C04085,2024-07-27,ACCOUNT SERVICE,Low,Escalated,,Social Media
626,CM000627,C01998,2024-03-21,ACCOUNT SERVICE,Low,Escalated,,Email
627,CM000628,C01941,2024-08-22,FRAUD COMPLAINT,Low,Closed,0.0,Call Center
628,CM000629,C03733,2024-02-12,CARD ISSUE,High,Escalated,,Branch
629,CM000630,C01333,2025-05-17,ACCOUNT SERVICE,Low,Open,,App
630,CM000631,C00141,2024-03-12,ACCOUNT SERVICE,Medium,Pending,,Call Center
631,CM000632,C01835,2024-04-16,KYC UPDATE,High,Open,,App
632,CM000633,C02905,2025-07-15,CHARGES DISPUTE,Low,Open,,Branch
633,CM000634,C02044,2025-04-12,KYC UPDATE,Medium,Closed,5.0,Call Center
634,CM000635,C00628,2025-09-20,FRAUD COMPLAINT,High,Open,,App
635,CM000636,C00262,2025-05-11,KYC UPDATE,High,Escalated,,Social Media
636,CM000637,C01484,2025-06-11,CARD ISSUE,Low,Closed,10.0,Social Media
637,CM000638,C00358,2026-05-29,KYC UPDATE,Medium,Closed,3.0,Email
638,CM000639,C02713,2025-06-08,KYC UPDATE,Low,Escalated,,Branch
639,CM000640,C04887,2026-02-11,CHARGES DISPUTE,Medium,Open,,Social Media
640,CM000641,C00915,2025-06-19,LOAN QUERY,Medium,Closed,3.0,Social Media
641,CM000642,C03287,2025-12-12,FRAUD COMPLAINT,Low,Escalated,,App
642,CM000643,C01095,2025-01-27,KYC UPDATE,Low,Escalated,,Branch
643,CM000644,C01389,2025-09-23,ACCOUNT SERVICE,Medium,Pending,,Social Media
644,CM000645,C04815,2025-07-08,CHARGES DISPUTE,Medium,Open,,Social Media
645,CM000646,C03619,2026-01-15,TRANSACTION DISPUTE,Medium,Closed,15.0,App
646,CM000647,C04612,2025-08-06,CARD ISSUE,High,Open,,Email
647,CM000648,C03436,2024-10-21,ACCOUNT SERVICE,Medium,Pending,,Email
648,CM000649,C04936,2026-02-15,ACCOUNT SERVICE,Medium,Escalated,,Branch
649,CM000650,C00970,2026-06-01,FRAUD COMPLAINT,High,Escalated,,Branch
650,CM000651,C03661,2024-11-26,CARD ISSUE,Low,Closed,0.0,Call Center
651,CM000652,C01574,2026-01-23,KYC UPDATE,Medium,Escalated,,Social Media
652,CM000653,C00191,2025-01-06,ACCOUNT SERVICE,Medium,Closed,7.0,Social Media
653,CM000654,C03273,2025-05-04,FRAUD COMPLAINT,Medium,Pending,,Call Center
654,CM000655,C01859,2026-03-10,FRAUD COMPLAINT,Medium,Pending,,Call Center
655,CM000656,C02853,2025-08-30,LOAN QUERY,Medium,Pending,,Branch
656,CM000657,C00529,2025-04-18,CARD ISSUE,Medium,Closed,15.0,Social Media
